Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NCarsGroup,NChildrenAtHomeGroup,TotalChildrenGroup,YearlyIncome,Age,AveMonthSpend,log_AveMonthSpend,BikeBuyer
Bachelors ,Professional,F,S,0,1-2,No,No,75270,32.0,47,3.8501476017100584,1
Bachelors ,Professional,F,S,1,>=3,>=1,>=5,95167,32.0,89,4.48863636973214,1
Bachelors ,Professional,F,S,1,1-2,No,No,85087,33.0,49,3.8918202981106265,0
Bachelors ,Professional,M,M,0,1-2,No,No,102445,33.0,85,4.442651256490317,0
Bachelors ,Professional,F,S,0,1-2,No,No,88445,33.0,52,3.9512437185814275,0
Bachelors ,Professional,M,S,0,1-2,No,No,97782,33.0,74,4.30406509320417,1
Bachelors ,Professional,F,M,1,1-2,No,1,117317,38.0,54,3.9889840465642745,1
Bachelors ,Professional,M,S,0,1-2,No,No,106891,34.0,79,4.3694478524670215,1
Partial College,Skilled Manual,M,M,1,1-2,No,1,77012,35.0,74,4.30406509320417,1
Partial College,Skilled Manual,F,M,1,1-2,No,1,62702,35.0,56,4.02535169073515,1
Partial College,Skilled Manual,F,M,1,1-2,No,1,73151,35.0,51,3.9318256327243257,0
Bachelors ,Professional,M,M,1,1-2,>=1,>=5,104220,35.0,142,4.955827057601261,1
Partial College,Skilled Manual,M,M,1,1-2,>=1,>=5,93330,35.0,141,4.948759890378168,1
Partial College,Skilled Manual,M,M,1,1-2,>=1,>=5,86770,35.0,140,4.941642422609304,1
Partial College,Skilled Manual,F,M,1,>=3,>=1,>=5,73276,36.0,84,4.430816798843313,1
Partial College,Clerical,M,S,0,1-2,No,2,51078,62.0,58,4.060443010546419,0
Bachelors ,Management,F,S,1,1-2,No,2,52280,61.0,37,3.6109179126442243,0
Partial College,Skilled Manual,M,M,1,>=3,>=1,>=5,88615,37.0,143,4.962844630259907,0
Partial College,Skilled Manual,M,M,1,>=3,>=1,>=5,102114,37.0,140,4.941642422609304,1
Partial College,Skilled Manual,M,S,1,1-2,No,1,106875,40.0,80,4.382026634673881,1
Partial College,Skilled Manual,F,S,1,1-2,No,1,65730,41.0,46,3.828641396489095,0
High School,Skilled Manual,M,M,0,1-2,>=1,2,32857,48.0,75,4.31748811353631,0
High School,Skilled Manual,F,M,1,1-2,No,No,46078,22.0,46,3.828641396489095,0
High School,Skilled Manual,F,S,1,1-2,No,No,32122,22.0,37,3.6109179126442243,0
High School,Skilled Manual,F,M,1,1-2,No,No,34879,17.0,48,3.871201010907891,0
High School,Skilled Manual,F,M,0,1-2,No,No,39266,17.0,44,3.784189633918261,0
High School,Skilled Manual,F,S,0,1-2,No,No,44139,17.0,40,3.6888794541139363,0
Partial High School,Clerical,F,S,0,1-2,No,No,37010,17.0,34,3.5263605246161616,0
High School,Skilled Manual,M,S,1,1-2,No,>=5,26209,51.0,64,4.1588830833596715,1
Partial High School,Clerical,M,S,0,1-2,No,No,64613,18.0,63,4.143134726391533,0
High School,Skilled Manual,F,S,0,1-2,No,No,38527,19.0,46,3.828641396489095,0
High School,Skilled Manual,F,M,1,1-2,No,No,42811,19.0,47,3.8501476017100584,0
High School,Skilled Manual,F,M,0,1-2,No,No,48772,19.0,45,3.8066624897703196,0
Partial College,Clerical,F,S,0,1-2,No,2,27610,59.0,39,3.6635616461296463,0
Partial High School,Clerical,M,S,0,1-2,No,No,64633,20.0,69,4.23410650459726,0
High School,Skilled Manual,F,M,0,1-2,No,No,32916,20.0,43,3.7612001156935624,0
High School,Skilled Manual,M,S,0,1-2,No,No,63488,20.0,73,4.290459441148391,1
High School,Skilled Manual,M,S,0,1-2,No,No,54938,18.0,64,4.1588830833596715,0
High School,Skilled Manual,F,S,0,1-2,No,No,29691,18.0,37,3.6109179126442243,0
Bachelors ,Management,F,S,1,1-2,No,2,66934,58.0,47,3.8501476017100584,0
Graduate Degree,Management,M,M,1,1-2,No,2,124211,58.0,78,4.356708826689592,0
Bachelors ,Management,M,M,1,1-2,No,2,63251,56.0,67,4.204692619390966,0
Bachelors ,Management,M,M,1,1-2,No,2,82448,56.0,71,4.2626798770413155,0
Bachelors ,Management,M,S,1,1-2,No,2,77855,56.0,69,4.23410650459726,0
Graduate Degree,Management,F,S,0,1-2,No,2,94385,55.0,46,3.828641396489095,0
High School,Skilled Manual,M,S,1,1-2,No,No,62553,21.0,72,4.276666119016055,1
High School,Skilled Manual,F,M,1,1-2,No,No,37229,21.0,42,3.7376696182833684,0
Partial College,Skilled Manual,F,S,1,1-2,No,No,33375,21.0,38,3.6375861597263857,0
Partial College,Skilled Manual,M,S,0,1-2,No,No,60713,21.0,68,4.219507705176107,1
High School,Skilled Manual,F,M,1,1-2,No,No,45639,22.0,50,3.912023005428146,0
High School,Skilled Manual,M,S,1,1-2,No,No,57274,22.0,65,4.174387269895637,0
High School,Skilled Manual,F,S,0,1-2,No,No,32033,22.0,40,3.6888794541139363,0
Partial College,Skilled Manual,M,S,0,1-2,No,No,54434,23.0,69,4.23410650459726,0
Partial College,Skilled Manual,F,S,0,1-2,No,No,46024,23.0,44,3.784189633918261,1
Partial College,Skilled Manual,M,M,1,1-2,No,No,56829,23.0,66,4.189654742026425,0
Partial College,Skilled Manual,M,S,0,1-2,No,No,48946,23.0,64,4.1588830833596715,1
Partial College,Skilled Manual,F,M,0,1-2,No,No,89154,24.0,52,3.9512437185814275,0
Partial College,Skilled Manual,F,S,0,1-2,No,No,70041,25.0,46,3.828641396489095,1
Bachelors ,Management,M,M,1,1-2,>=1,4,116323,29.0,141,4.948759890378168,1
Bachelors ,Management,F,M,1,1-2,>=1,4,104668,29.0,91,4.51085950651685,1
Bachelors ,Management,M,S,1,1-2,No,1,128776,30.0,80,4.382026634673881,1
Graduate Degree,Management,F,S,0,>=3,No,No,151318,30.0,51,3.9318256327243257,0
Graduate Degree,Management,M,M,1,No,>=1,1,183231,30.0,109,4.6913478822291435,1
Partial College,Skilled Manual,M,S,1,1-2,No,No,98032,34.0,70,4.248495242049359,1
Bachelors ,Management,M,M,1,1-2,>=1,4,140875,29.0,148,4.997212273764115,1
Graduate Degree,Management,M,M,1,1-2,>=1,4,185657,55.0,144,4.969813299576001,1
Graduate Degree,Management,F,M,1,>=3,>=1,4,141844,54.0,91,4.51085950651685,0
Bachelors ,Management,F,M,1,>=3,>=1,3,145176,54.0,73,4.290459441148391,1
Graduate Degree,Management,M,M,1,1-2,>=1,3,184504,54.0,126,4.836281906951478,0
Bachelors ,Management,F,S,1,1-2,No,4,80891,53.0,39,3.6635616461296463,0
Bachelors ,Management,F,S,1,1-2,No,4,90366,53.0,51,3.9318256327243257,1
Bachelors ,Management,F,S,1,1-2,No,4,91037,53.0,42,3.7376696182833684,0
Bachelors ,Management,F,S,1,1-2,No,4,83404,53.0,48,3.871201010907891,0
Bachelors ,Management,F,S,1,1-2,No,4,79819,53.0,46,3.828641396489095,0
Graduate Degree,Management,F,M,1,1-2,No,4,85829,53.0,49,3.8918202981106265,0
Graduate Degree,Management,F,M,0,1-2,No,4,104279,53.0,52,3.9512437185814275,0
Graduate Degree,Management,M,S,1,1-2,No,4,121950,53.0,75,4.31748811353631,0
Bachelors ,Management,M,M,1,1-2,No,>=5,95877,53.0,77,4.343805421853684,0
Bachelors ,Management,F,S,1,>=3,No,>=5,80055,52.0,47,3.8501476017100584,0
Bachelors ,Management,M,M,1,1-2,No,4,112289,52.0,79,4.3694478524670215,0
Bachelors ,Management,M,M,1,1-2,No,4,111071,52.0,73,4.290459441148391,0
Bachelors ,Management,F,M,1,1-2,No,4,89692,52.0,51,3.9318256327243257,0
Bachelors ,Management,F,M,1,>=3,No,>=5,86347,51.0,52,3.9512437185814275,0
Bachelors ,Management,M,M,1,>=3,No,>=5,96935,51.0,75,4.31748811353631,0
Bachelors ,Management,F,M,0,1-2,>=1,3,86749,51.0,57,4.04305126783455,1
Bachelors ,Management,F,S,1,1-2,>=1,4,84010,51.0,54,3.9889840465642745,0
Bachelors ,Management,F,M,1,1-2,>=1,4,81296,51.0,59,4.07753744390572,0
Bachelors ,Management,M,M,1,1-2,>=1,4,101131,50.0,96,4.564348191467836,1
Bachelors ,Management,F,M,1,1-2,>=1,4,83256,50.0,57,4.04305126783455,0
Bachelors ,Management,F,M,0,1-2,No,>=5,96418,50.0,55,4.007333185232471,0
High School,Professional,M,M,1,1-2,>=1,2,55404,49.0,83,4.418840607796598,0
High School,Professional,F,M,1,1-2,>=1,2,50201,49.0,53,3.970291913552122,0
High School,Professional,F,M,1,1-2,>=1,2,52116,49.0,53,3.970291913552122,0
Partial College,Professional,M,M,1,1-2,>=1,2,96883,49.0,94,4.543294782270004,0
Bachelors ,Management,F,M,1,No,>=1,2,81421,49.0,54,3.9889840465642745,1
Bachelors ,Management,F,M,1,No,>=1,2,73189,49.0,57,4.04305126783455,1
High School,Professional,F,M,1,1-2,>=1,2,50320,48.0,53,3.970291913552122,1
High School,Professional,F,M,1,1-2,>=1,2,48200,48.0,53,3.970291913552122,0
Partial College,Professional,F,S,1,1-2,>=1,2,69431,48.0,51,3.9318256327243257,0
Partial College,Professional,M,S,1,1-2,>=1,2,91233,48.0,84,4.430816798843313,0
Partial College,Professional,F,S,1,1-2,>=1,2,79388,47.0,53,3.970291913552122,0
Partial College,Professional,F,S,1,1-2,>=1,2,81490,47.0,55,4.007333185232471,1
High School,Professional,M,M,1,1-2,>=1,2,88557,47.0,92,4.5217885770490405,0
Partial College,Professional,F,M,1,1-2,>=1,2,98934,47.0,57,4.04305126783455,0
Partial College,Professional,M,M,1,1-2,>=1,4,107014,47.0,110,4.700480365792417,0
Bachelors ,Management,F,M,1,1-2,>=1,3,97838,47.0,65,4.174387269895637,0
High School,Professional,F,S,1,1-2,>=1,2,93756,46.0,60,4.0943445622221,1
High School,Professional,F,S,1,1-2,>=1,2,58807,46.0,52,3.9512437185814275,0
Partial College,Professional,F,M,1,1-2,>=1,2,75300,46.0,53,3.970291913552122,0
Partial College,Professional,F,M,1,1-2,>=1,2,69781,46.0,59,4.07753744390572,0
Partial College,Professional,M,S,1,1-2,>=1,2,107126,46.0,92,4.5217885770490405,1
Partial College,Professional,F,M,1,1-2,>=1,2,83120,46.0,63,4.143134726391533,1
Partial College,Professional,M,S,1,1-2,>=1,4,79403,46.0,96,4.564348191467836,0
Partial College,Professional,F,M,0,1-2,>=1,4,82373,46.0,68,4.219507705176107,0
High School,Professional,M,M,1,1-2,>=1,2,82678,45.0,89,4.48863636973214,0
High School,Professional,F,M,0,1-2,>=1,3,89815,45.0,58,4.060443010546419,1
Partial College,Professional,M,M,1,1-2,>=1,4,95975,45.0,108,4.68213122712422,0
Partial College,Professional,F,S,1,1-2,>=1,4,81567,45.0,58,4.060443010546419,1
Partial College,Professional,M,M,1,1-2,>=1,4,97258,45.0,109,4.6913478822291435,0
Partial College,Professional,M,S,1,1-2,>=1,>=5,104005,45.0,107,4.672828834461906,1
Bachelors ,Management,M,S,0,>=3,>=1,3,164291,39.0,126,4.836281906951478,1
Bachelors ,Management,F,S,0,>=3,>=1,3,138418,39.0,80,4.382026634673881,1
Partial College,Professional,F,M,0,1-2,>=1,4,123475,39.0,98,4.584967478670572,0
Partial College,Professional,F,M,1,>=3,>=1,3,136555,39.0,88,4.477336814478207,1
Partial College,Professional,F,S,1,>=3,>=1,3,114730,40.0,80,4.382026634673881,1
Partial College,Professional,M,M,1,>=3,>=1,4,160265,40.0,153,5.030437921392435,1
Partial College,Professional,F,M,1,>=3,>=1,3,131035,40.0,89,4.48863636973214,0
Bachelors ,Management,F,S,0,>=3,>=1,3,139552,40.0,81,4.394449154672439,1
High School,Professional,M,M,0,>=3,>=1,4,154573,41.0,147,4.990432586778736,1
High School,Professional,F,M,0,>=3,>=1,4,136970,41.0,99,4.59511985013459,0
Partial College,Professional,M,M,1,>=3,>=1,4,165394,42.0,157,5.056245805348308,1
Partial College,Professional,F,M,1,>=3,>=1,4,128534,42.0,94,4.543294782270004,1
High School,Professional,F,M,1,1-2,>=1,4,140179,42.0,98,4.584967478670572,0
High School,Professional,M,S,0,1-2,No,4,50003,65.0,55,4.007333185232471,0
Graduate Degree,Management,M,S,1,1-2,No,3,139004,65.0,71,4.2626798770413155,0
Graduate Degree,Management,M,M,1,1-2,No,2,127974,64.0,72,4.276666119016055,0
Graduate Degree,Management,M,M,1,1-2,No,4,101550,64.0,71,4.2626798770413155,0
Graduate Degree,Management,F,M,1,1-2,No,4,88902,64.0,44,3.784189633918261,0
Graduate Degree,Management,F,S,1,>=3,>=1,2,146565,64.0,59,4.07753744390572,0
Partial College,Professional,F,M,1,>=3,>=1,4,96421,32.0,65,4.174387269895637,0
Bachelors ,Management,F,M,1,>=3,>=1,2,127739,32.0,80,4.382026634673881,1
Graduate Degree,Management,F,M,1,1-2,>=1,2,154474,32.0,79,4.3694478524670215,0
Bachelors ,Management,F,M,1,No,>=1,4,97283,33.0,89,4.48863636973214,0
Partial College,Professional,F,M,1,>=3,>=1,>=5,104042,33.0,99,4.59511985013459,0
Partial College,Professional,M,S,0,>=3,>=1,>=5,122978,33.0,154,5.0369526024136295,1
Partial College,Professional,F,M,1,>=3,>=1,>=5,91607,33.0,98,4.584967478670572,1
Partial College,Professional,F,S,0,1-2,No,No,98748,33.0,51,3.9318256327243257,0
Partial College,Professional,M,S,1,>=3,>=1,4,169568,33.0,115,4.74493212836325,1
Graduate Degree,Management,F,M,1,1-2,>=1,2,145275,33.0,80,4.382026634673881,0
Graduate Degree,Management,M,M,1,1-2,>=1,2,173834,33.0,119,4.77912349311153,1
Graduate Degree,Management,M,M,1,>=3,>=1,2,180861,33.0,119,4.77912349311153,1
Bachelors ,Management,F,S,0,>=3,No,2,141306,33.0,53,3.970291913552122,1
Partial College,Professional,F,S,1,No,>=1,4,72083,41.0,73,4.290459441148391,1
Partial College,Professional,M,M,1,No,>=1,2,116585,41.0,105,4.653960350157523,0
Graduate Degree,Management,M,M,1,1-2,No,2,75549,63.0,61,4.110873864173311,0
Graduate Degree,Management,F,M,1,1-2,No,4,112925,63.0,48,3.871201010907891,0
Partial College,Professional,F,M,1,1-2,>=1,4,102901,34.0,86,4.454347296253507,1
Partial College,Professional,M,M,1,1-2,>=1,4,125463,34.0,134,4.897839799950911,1
Partial College,Professional,F,M,1,1-2,No,No,86138,34.0,52,3.9512437185814275,0
Partial College,Professional,M,M,1,1-2,No,No,125485,34.0,92,4.5217885770490405,1
Bachelors ,Management,F,S,1,>=3,>=1,4,127801,34.0,74,4.30406509320417,1
Partial College,Professional,M,M,1,>=3,>=1,>=5,105527,35.0,146,4.983606621708336,1
Bachelors ,Management,M,M,1,1-2,>=1,3,155993,35.0,136,4.912654885736052,1
Graduate Degree,Management,M,M,1,>=3,No,No,169863,35.0,93,4.532599493153256,0
Partial College,Professional,M,M,0,>=3,>=1,>=5,97392,36.0,140,4.941642422609304,1
Bachelors ,Management,F,M,1,1-2,>=1,3,123794,36.0,85,4.442651256490317,1
Bachelors ,Management,F,M,1,>=3,>=1,3,145642,36.0,88,4.477336814478207,1
Bachelors ,Management,F,M,1,>=3,>=1,3,130738,36.0,89,4.48863636973214,0
Partial College,Professional,M,S,0,>=3,>=1,2,150167,36.0,112,4.718498871295094,1
High School,Professional,M,S,0,1-2,No,2,96447,42.0,71,4.2626798770413155,1
High School,Professional,M,M,0,1-2,No,2,92889,42.0,84,4.430816798843313,0
Partial High School,Skilled Manual,F,S,1,1-2,No,2,89097,43.0,47,3.8501476017100584,1
Graduate Degree,Management,F,S,1,1-2,No,2,82760,62.0,47,3.8501476017100584,0
Graduate Degree,Management,M,S,1,1-2,No,4,109129,62.0,68,4.219507705176107,0
Graduate Degree,Management,M,M,1,1-2,No,4,112116,62.0,73,4.290459441148391,0
Graduate Degree,Management,M,M,1,1-2,No,4,117520,61.0,72,4.276666119016055,0
Partial College,Professional,M,M,0,>=3,>=1,>=5,122139,37.0,152,5.0238805208462765,1
Partial College,Professional,M,M,1,>=3,>=1,>=5,127971,37.0,145,4.976733742420574,1
High School,Professional,M,S,0,>=3,>=1,4,121401,37.0,120,4.787491742782046,1
High School,Professional,F,S,0,>=3,>=1,4,106090,37.0,75,4.31748811353631,1
Partial College,Professional,F,M,1,No,>=1,3,95526,37.0,83,4.418840607796598,0
Partial College,Professional,M,M,0,>=3,>=1,3,156297,37.0,137,4.919980925828125,0
Partial College,Professional,M,M,0,>=3,>=1,3,171700,37.0,142,4.955827057601261,1
Partial High School,Skilled Manual,M,M,1,1-2,No,2,114324,43.0,88,4.477336814478207,0
High School,Professional,M,M,0,1-2,No,2,82817,43.0,75,4.31748811353631,0
High School,Professional,F,S,1,1-2,No,2,72518,43.0,46,3.828641396489095,0
Graduate Degree,Management,F,S,1,1-2,No,3,103232,44.0,51,3.9318256327243257,1
Graduate Degree,Management,F,S,0,1-2,No,3,88666,44.0,46,3.828641396489095,0
Graduate Degree,Management,F,S,1,1-2,No,3,91177,44.0,51,3.9318256327243257,0
Graduate Degree,Management,M,S,1,1-2,No,3,101674,44.0,79,4.3694478524670215,0
Graduate Degree,Management,F,S,0,1-2,No,3,92491,44.0,51,3.9318256327243257,1
Graduate Degree,Management,F,S,0,1-2,No,3,100009,44.0,53,3.970291913552122,1
Graduate Degree,Management,M,M,1,1-2,No,3,122242,44.0,83,4.418840607796598,0
Partial College,Professional,F,S,0,1-2,No,3,45387,45.0,42,3.7376696182833684,0
Partial College,Professional,F,S,0,1-2,No,3,63473,45.0,47,3.8501476017100584,0
Graduate Degree,Management,F,M,0,1-2,No,4,99881,60.0,47,3.8501476017100584,0
Graduate Degree,Management,F,M,1,1-2,No,4,140771,60.0,50,3.912023005428146,0
Bachelors ,Management,M,M,1,1-2,No,>=5,126955,59.0,76,4.330733340286331,0
Bachelors ,Management,F,M,1,1-2,No,>=5,110304,59.0,52,3.9512437185814275,0
Bachelors ,Management,M,M,1,1-2,No,>=5,131143,58.0,78,4.356708826689592,0
Bachelors ,Management,M,S,1,1-2,No,>=5,128035,58.0,72,4.276666119016055,0
Bachelors ,Management,M,M,1,>=3,>=1,3,167552,58.0,117,4.762173934797756,1
Bachelors ,Management,M,S,1,1-2,No,>=5,146838,57.0,71,4.2626798770413155,0
Graduate Degree,Management,M,M,1,1-2,>=1,4,184290,57.0,140,4.941642422609304,0
Graduate Degree,Clerical,F,M,1,No,No,1,36399,35.0,51,3.9318256327243257,0
Bachelors ,Manual,F,M,1,No,No,1,26675,36.0,43,3.7612001156935624,0
Bachelors ,Manual,F,M,1,No,No,1,27831,36.0,42,3.7376696182833684,0
Graduate Degree,Clerical,M,M,1,No,No,1,58842,35.0,76,4.330733340286331,1
Bachelors ,Manual,M,M,1,No,No,1,28641,36.0,69,4.23410650459726,0
Graduate Degree,Clerical,M,M,1,No,No,1,58637,36.0,76,4.330733340286331,1
Graduate Degree,Clerical,M,S,1,No,No,1,45259,36.0,65,4.174387269895637,0
Graduate Degree,Clerical,F,M,1,No,No,1,28969,61.0,36,3.58351893845611,0
Graduate Degree,Clerical,M,M,1,No,No,1,46868,61.0,61,4.110873864173311,0
Graduate Degree,Clerical,M,M,1,No,No,>=5,72684,35.0,80,4.382026634673881,1
Bachelors ,Manual,M,M,1,No,No,1,23353,39.0,63,4.143134726391533,0
Partial College,Manual,F,M,1,No,No,1,30760,40.0,43,3.7612001156935624,0
Partial College,Manual,F,S,1,No,No,1,16168,40.0,33,3.4965075614664802,0
Partial College,Manual,F,S,1,1-2,No,2,27856,42.0,40,3.6888794541139363,0
Partial College,Manual,M,M,1,1-2,No,2,23130,42.0,61,4.110873864173311,0
Partial College,Manual,M,M,1,1-2,No,2,34162,42.0,68,4.219507705176107,0
Partial College,Manual,F,M,1,1-2,No,2,21535,43.0,37,3.6109179126442243,0
Graduate Degree,Clerical,F,M,1,No,No,1,62977,60.0,42,3.7376696182833684,0
Bachelors ,Clerical,F,S,1,No,No,1,25937,58.0,38,3.6375861597263857,0
